regimen_synonym_id,regimen_synonym,source_id,regimen_id
515,carfilzomib and dexamethasone,1,451
516,carfilzomib and farydak,1,453
517,"carfilzomib, cyclophosphamide, dex",1,1416
518,"carfilzomib, cyclophosphamide, dexamethasone",1,1416
519,"carfilzomib, lenalidomide, dex",1,730
520,"carfilzomib, lenalidomide, dexamethasone",1,730
521,"carfilzomib, melphalan, prednisone",1,1421
522,"carfilzomib, pomalidomide, dex",1,781
523,"carfilzomib, pomalidomide, dexamethasone",1,781
524,"carfilzomib, pomalyst, dex",1,781
525,"carfilzomib, pomalyst, dexamethaonse",1,781
526,"carfilzomib, revlimid (lenalidomide), low-dose dexamethasone",1,730
527,"carfilzomib, rituximab, dexamethasone",1,450
528,"carfilzomib, thaldex",1,1424
529,"carfilzomib, thalidomide, dex",1,1424
530,"carfilzomib, thalidomide, dexamethasone",1,1424
531,carfilzomib-mp,1,1421
532,carfilzomib-pomdex,1,781
533,carfpomdex,1,781
534,carmustine and adriamycin,1,455
535,cart-egfrviii cells,1,458
536,cav-e,1,462
537,cav/ep,7,2131
538,cavp,1,516
539,cavpm,7,1802
540,cavv,7,1016
541,cb,1,331
542,cb,7,331
543,cbd,1,383
544,cbdca,7,1968
545,cbtb,1,403
546,cbvd,7,740
547,cc,1,380
548,ccma,7,1506
549,"ccnu (lomustine), etoposide, prednimustine",1,481
550,"ccnu (lomustine), oncovin (vincristine), procarbazine, prednisone",1,305
551,"ccnu (lomustine), vinblastine, bleomycin",1,384
552,"ccnu (lomustine), vinblastine, procarbazine, prednisone",1,748
553,ccyd,1,1416
554,cd,1,338
555,cdep,7,881
556,cdp,1,585
557,ce,1,384
558,ce,7,384
559,ce and atezolizumab,1,385
560,ce and bevacizumab,1,386
561,ce and durvalumab,1,387
562,ce and pembrolizumab,1,388
563,ce and serplulimab,1,389
564,ceb,7,1414
565,cef,1,1119
566,cef,7,1119
567,cef-t,1,1122
568,ceop (prednisolone),1,480
569,cetuximab and radiation therapy,1,485
570,cev,1,487
571,cev,7,487
572,cev (cyclophosphamide/etoposide),1,487
573,cf,1,543
574,cf,7,543
575,cf and cetuximab,1,544
576,"cf and hydroxyurea, rt",1,545
577,cf and nivolumab,1,546
578,cf and panitumumab,1,547
579,cf and pembrolizumab,1,548
580,cf and rt,1,549
581,cf and sintilimab,1,550
582,cf and tislelizumab,1,552
583,cf and trastuzumab,1,553
584,cf and vincristine,1,554
585,"cf, pembrolizumab, trastuzumab",1,555
586,cf-c,1,544
587,cfm,7,1179
588,cfpmv,1,646
589,cg,1,391
590,chap,7,495
591,cheop,1,515
592,"chllorambucil, vinblastine, procarbazine, prednisone",1,511
593,"chllorambucil, vinblastine, procarbazine, prednisone, etoposide, vincristine, adriamycin (doxorubicin)",1,512
594,chlorambucil and rituximab,1,508
595,"chlorambucil, vinblastine, procarbazine, prednisone alternating with prednisolone, adriamycin (doxorubicin), bleomycin, oncovin (vincristine), etoposide",1,513
596,chod,7,738
597,choep-21,1,515
598,chop (prednisolone),1,516
599,chop + r,7,1819
600,chop modified (prednisolone),1,518
